compounds	name	maxFlux	condition	base_maxFlux	derivation_factor	agora_reference_flux	source_basis	notes
cpd00027	D-Glucose	20	carbon_rich	10	2	271.1607003	Gut-like base with AGORA carbon-doubled scaling applied to overlapping carbohydrate	D-glucose scaled by carbon-doubled/EU-average AGORA ratio (2); all other bounds unchanged.
cpd00159	L-Lactate	10	carbon_rich	10	1		Gut-like base with AGORA carbon-doubled scaling applied to overlapping carbohydrate	L-lactate unchanged to isolate carbohydrate enrichment.
cpd00029	Acetate	5	carbon_rich	5	1		Gut-like base with AGORA carbon-doubled scaling applied to overlapping carbohydrate	Acetate unchanged to isolate carbohydrate enrichment.
cpd00067	H+	1000	carbon_rich	1000	1		Gut-like base with AGORA carbon-doubled scaling applied to overlapping carbohydrate	
cpd00001	H2O	1000	carbon_rich	1000	1	165892.3425	Gut-like base with AGORA carbon-doubled scaling applied to overlapping carbohydrate	
cpd00007	O2	0	carbon_rich	0	1		Gut-like base with AGORA carbon-doubled scaling applied to overlapping carbohydrate	Oxygen uptake closed to enforce anaerobiosis.
cpd00011	CO2	1000	carbon_rich	1000	1		Gut-like base with AGORA carbon-doubled scaling applied to overlapping carbohydrate	
cpd00013	NH3	1000	carbon_rich	1000	1		Gut-like base with AGORA carbon-doubled scaling applied to overlapping carbohydrate	
cpd00009	Phosphate	1000	carbon_rich	1000	1	14.22660928	Gut-like base with AGORA carbon-doubled scaling applied to overlapping carbohydrate	
cpd00048	Sulfate	1000	carbon_rich	1000	1		Gut-like base with AGORA carbon-doubled scaling applied to overlapping carbohydrate	
cpd00971	Na+	1000	carbon_rich	1000	1	172.4462717	Gut-like base with AGORA carbon-doubled scaling applied to overlapping carbohydrate	
cpd00205	K+	1000	carbon_rich	1000	1	83.43380658	Gut-like base with AGORA carbon-doubled scaling applied to overlapping carbohydrate	
cpd00254	Mg	1000	carbon_rich	1000	1	14.52993211	Gut-like base with AGORA carbon-doubled scaling applied to overlapping carbohydrate	
cpd00063	Ca2+	1000	carbon_rich	1000	1	18.5490793	Gut-like base with AGORA carbon-doubled scaling applied to overlapping carbohydrate	
cpd00099	Cl-	1000	carbon_rich	1000	1	375.5574987	Gut-like base with AGORA carbon-doubled scaling applied to overlapping carbohydrate	
cpd10515	Fe2+	1000	carbon_rich	1000	1	0.1092488137	Gut-like base with AGORA carbon-doubled scaling applied to overlapping carbohydrate	
cpd10516	Fe3+	1000	carbon_rich	1000	1	0.1092488137	Gut-like base with AGORA carbon-doubled scaling applied to overlapping carbohydrate	
cpd00030	Mn2+	1000	carbon_rich	1000	1	0.0747023306	Gut-like base with AGORA carbon-doubled scaling applied to overlapping carbohydrate	
cpd00034	Zn2+	1000	carbon_rich	1000	1	0.1509635974	Gut-like base with AGORA carbon-doubled scaling applied to overlapping carbohydrate	
cpd00058	Cu2+	1000	carbon_rich	1000	1	0.03567494413	Gut-like base with AGORA carbon-doubled scaling applied to overlapping carbohydrate	
cpd00149	Co2+	1000	carbon_rich	1000	1		Gut-like base with AGORA carbon-doubled scaling applied to overlapping carbohydrate	
cpd00305	Thiamin	1	carbon_rich	1	1	5.407858013	Gut-like base with AGORA carbon-doubled scaling applied to overlapping carbohydrate	
cpd00220	Riboflavin	1	carbon_rich	1	1	0.003693234128	Gut-like base with AGORA carbon-doubled scaling applied to overlapping carbohydrate	
cpd00133	Niacinamide	1	carbon_rich	1	1	0.1455276005	Gut-like base with AGORA carbon-doubled scaling applied to overlapping carbohydrate	
cpd00218	Nicotinate	1	carbon_rich	1	1	0.3086161923	Gut-like base with AGORA carbon-doubled scaling applied to overlapping carbohydrate	
cpd00644	Pantothenate	1	carbon_rich	1	1	0.02556970494	Gut-like base with AGORA carbon-doubled scaling applied to overlapping carbohydrate	
cpd00104	Biotin	1	carbon_rich	1	1	0.000178666328	Gut-like base with AGORA carbon-doubled scaling applied to overlapping carbohydrate	
cpd00041	L-Aspartate	2	carbon_rich	2	1	47.08674913	Gut-like base with AGORA carbon-doubled scaling applied to overlapping carbohydrate	
cpd00033	Glycine	2	carbon_rich	2	1	36.76468629	Gut-like base with AGORA carbon-doubled scaling applied to overlapping carbohydrate	
cpd00039	L-Lysine	2	carbon_rich	2	1	33.31154825	Gut-like base with AGORA carbon-doubled scaling applied to overlapping carbohydrate	
cpd00060	L-Methionine	2	carbon_rich	2	1	10.72740469	Gut-like base with AGORA carbon-doubled scaling applied to overlapping carbohydrate	
cpd00084	L-Cysteine	2	carbon_rich	2	1	7.511831638	Gut-like base with AGORA carbon-doubled scaling applied to overlapping carbohydrate	
cpd00119	L-Histidine	2	carbon_rich	2	1	14.02407663	Gut-like base with AGORA carbon-doubled scaling applied to overlapping carbohydrate	
